2025-09-13 11:42:51 | INFO | Connecting to Kafka broker at localhost:9092...
2025-09-13 11:42:51 | INFO | Kafka producer successfully created.
2025-09-13 11:42:51 | INFO | Kafka broker address: localhost:9092
2025-09-13 11:42:52 | INFO | Topic 'buzzline_json' already exists. Recreating fresh...
2025-09-13 11:42:52 | INFO | Requested deletion of topic 'buzzline_json'.
2025-09-13 11:42:52 | INFO | Topic 'buzzline_json' created successfully.
2025-09-13 11:42:52 | INFO | Kafka topic 'buzzline_json' is ready.
2025-09-13 11:42:52 | INFO | Starting message production to topic 'buzzline_json'...
2025-09-13 11:42:52 | INFO | Opening data file in read mode: PROJECT_ROOT/data/buzz.json
2025-09-13 11:42:52 | INFO | Reading data from file: PROJECT_ROOT/data/buzz.json
2025-09-13 11:42:52 | INFO | Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Eve', 'city': 'PORTLAND', 'age': '37'}
2025-09-13 11:42:53 | INFO | Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Alice', 'city': 'PORTLAND', 'age': '41'}
2025-09-13 11:42:54 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Charlie', 'city': 'CLEVELAND', 'age': '52'}
2025-09-13 11:42:55 | INFO | Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Alice', 'city': 'CLEVELAND', 'age': '46'}
2025-09-13 11:42:56 | INFO | Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Diana', 'city': 'BOSTON', 'age': '48'}
2025-09-13 11:42:57 | INFO | Sent message to topic 'buzzline_json': {'message': 'Buzz messages for everyone.', 'author': 'Alice', 'city': 'CHICAGO', 'age': '37'}
2025-09-13 11:42:58 | INFO | Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world!', 'author': 'Diana', 'city': 'CHICAGO', 'age': '52'}
2025-09-13 11:42:59 | INFO | Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Eve', 'city': 'CLEVELAND', 'age': '33'}
2025-09-13 11:43:00 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Eve', 'city': 'NEW YORK', 'age': '52'}
2025-09-13 11:43:01 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Alice', 'city': 'HUSTON', 'age': '52'}
2025-09-13 11:43:02 | INFO | Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Diana', 'city': 'PORTLAND', 'age': '33'}
2025-09-13 11:43:03 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Diana', 'city': 'BOSTON', 'age': '33'}
2025-09-13 11:43:04 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Charlie', 'city': 'HUSTON', 'age': '41'}
2025-09-13 11:43:05 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Bob', 'city': 'CHICAGO', 'age': '41'}
2025-09-13 11:43:06 | INFO | Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Bob', 'city': 'PORTLAND', 'age': '46'}
2025-09-13 11:43:07 | INFO | Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Eve', 'city': 'NEW YORK', 'age': '52'}
2025-09-13 11:43:08 | INFO | Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Eve', 'city': 'PORTLAND', 'age': '41'}
2025-09-13 11:43:09 | INFO | Sent message to topic 'buzzline_json': {'message': 'Buzz messages for everyone.', 'author': 'Alice', 'city': 'CHICAGO', 'age': '55'}
2025-09-13 11:43:10 | INFO | Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Alice', 'city': 'PORTLAND', 'age': '48'}
2025-09-13 11:43:11 | INFO | Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Diana', 'city': 'HUSTON', 'age': '33'}
2025-09-13 11:43:12 | INFO | Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Eve', 'city': 'NEW YORK', 'age': '55'}
2025-09-13 11:43:13 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Charlie', 'city': 'NEW YORK', 'age': '37'}
2025-09-13 11:43:14 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Bob', 'city': 'BOSTON', 'age': '52'}
2025-09-13 11:43:15 | INFO | Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Alice', 'city': 'HUSTON', 'age': '48'}
2025-09-13 11:43:18 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Diana', 'city': 'HUSTON', 'age': '37'}
2025-09-13 11:43:19 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Diana', 'city': 'NEW YORK', 'age': '37'}
2025-09-13 11:43:20 | INFO | Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world!', 'author': 'Bob', 'city': 'CLEVELAND', 'age': '37'}
2025-09-13 11:43:21 | INFO | Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Diana', 'city': 'CHICAGO', 'age': '41'}
2025-09-13 11:43:22 | INFO | Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Diana', 'city': 'BOSTON', 'age': '46'}
2025-09-13 11:43:23 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Alice', 'city': 'CLEVELAND', 'age': '55'}
2025-09-13 11:43:24 | INFO | Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world!', 'author': 'Charlie', 'city': 'NEW YORK', 'age': '48'}
2025-09-13 11:43:25 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Diana', 'city': 'BOSTON', 'age': '37'}
2025-09-13 11:43:26 | INFO | Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Bob', 'city': 'BOSTON', 'age': '55'}
2025-09-13 11:43:27 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Diana', 'city': 'DETROIT', 'age': '46'}
2025-09-13 11:43:28 | INFO | Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world!', 'author': 'Alice', 'city': 'CLEVELAND', 'age': '33'}
2025-09-13 11:43:29 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Alice', 'city': 'CHICAGO', 'age': '55'}
2025-09-13 11:43:30 | INFO | Sent message to topic 'buzzline_json': {'message': 'Buzz messages for everyone.', 'author': 'Charlie', 'city': 'PORTLAND', 'age': '52'}
2025-09-13 11:43:31 | INFO | Sent message to topic 'buzzline_json': {'message': 'Buzz messages for everyone.', 'author': 'Bob', 'city': 'DETROIT', 'age': '46'}
2025-09-13 11:43:32 | INFO | Sent message to topic 'buzzline_json': {'message': 'Streaming data is fun.', 'author': 'Diana', 'city': 'CHICAGO', 'age': '48'}
2025-09-13 11:43:33 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Diana', 'city': 'BOSTON', 'age': '52'}
2025-09-13 11:43:34 | INFO | Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Alice', 'city': 'BOSTON', 'age': '37'}
2025-09-13 11:43:35 | INFO | Sent message to topic 'buzzline_json': {'message': 'Streaming data is fun.', 'author': 'Charlie', 'city': 'CHICAGO', 'age': '55'}
2025-09-13 11:43:36 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Alice', 'city': 'CLEVELAND', 'age': '33'}
2025-09-13 11:43:37 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Diana', 'city': 'BOSTON', 'age': '52'}
2025-09-13 11:43:38 | INFO | Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Alice', 'city': 'NEW YORK', 'age': '48'}
2025-09-13 11:43:39 | INFO | Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Bob', 'city': 'CLEVELAND', 'age': '48'}
2025-09-13 11:43:40 | INFO | Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Bob', 'city': 'NEW YORK', 'age': '46'}
2025-09-13 11:43:41 | INFO | Sent message to topic 'buzzline_json': {'message': 'Streaming data is fun.', 'author': 'Diana', 'city': 'CLEVELAND', 'age': '48'}
2025-09-13 11:43:42 | INFO | Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Bob', 'city': 'HUSTON', 'age': '41'}
2025-09-13 11:43:43 | INFO | Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Eve', 'city': 'CHICAGO', 'age': '33'}
2025-09-13 11:43:43 | WARNING | Producer interrupted by user.
2025-09-13 11:43:43 | INFO | Kafka producer closed.
2025-09-13 11:43:43 | INFO | END producer.
